id	labelhpo	combined
HP_0012581	HP_0012581	
HP_0100821	HP_0100821	
HP_0025417	HP_0025417	
HP_0012741	HP_0012741	
HP_0012861	HP_0012861	
HP_0008706	HP_0008706	
HP_0000068	HP_0000068	
HP_0000003	HP_0000003	
HP_0000047	HP_0000047	
HP_0000069	HP_0000069	
HP_0008689	HP_0008689	
HP_0008722	HP_0008722	
HP_0010459	HP_0010459	
HP_0000028	HP_0000028	
HP_0030723	HP_0030723	
HP_0008743	HP_0008743	
HP_0000061	HP_0000061	
HP_0100779	HP_0100779	
HP_0000062	HP_0000062	
HP_0000085	HP_0000085	
HP_0100517	HP_0100517	
HP_0000807	HP_0000807	
HP_0000808	HP_0000808	
HP_0012854	HP_0012854	
HP_0000107	HP_0000107	
HP_0000800	HP_0000800	
HP_0012853	HP_0012853	
HP_0500006	HP_0500006	
HP_0000033	HP_0000033	
HP_0003244	HP_0003244	
HP_0000113	HP_0000113	
HP_0000795	HP_0000795	
HP_0000796	HP_0000796	
HP_0003248	HP_0003248	
HP_0025634	HP_0025634	
HP_0025633	HP_0025633	
HP_0000051	HP_0000051	
HP_0005562	HP_0005562	
HP_0100627	HP_0100627	
