id	labelhpo	combined
HP_0000711	HP_0000711	
HP_0001328	HP_0001328	
HP_0010522	HP_0010522	
HP_0000757	HP_0000757	
HP_0031466	HP_0031466	
HP_0000717	HP_0000717	
HP_0032505	HP_0032505	
HP_0002342	HP_0002342	
HP_0001256	HP_0001256	
HP_0002300	HP_0002300	
HP_0032508	HP_0032508	
HP_0031936	HP_0031936	
HP_0012736	HP_0012736	
HP_0000721	HP_0000721	
HP_0032509	HP_0032509	
HP_0002187	HP_0002187	
HP_0000708	HP_0000708	
HP_0040202	HP_0040202	
HP_0000709	HP_0000709	
HP_0100851	HP_0100851	
HP_0000744	HP_0000744	
HP_0000746	HP_0000746	
HP_0032521	HP_0032521	
HP_0010794	HP_0010794	
HP_0030223	HP_0030223	
HP_0031987	HP_0031987	
HP_0000750	HP_0000750	
HP_0000751	HP_0000751	
HP_0030858	HP_0030858	
HP_0001249	HP_0001249	
HP_0010865	HP_0010865	
HP_0000710	HP_0000710	
HP_0010864	HP_0010864	
HP_0025479	HP_0025479	
HP_0025356	HP_0025356	
HP_0025112	HP_0025112	
HP_0010863	HP_0010863	
HP_0000613	HP_0000613	
HP_0010862	HP_0010862	
HP_0000736	HP_0000736	
HP_0000738	HP_0000738	
HP_0002442	HP_0002442	
HP_0006887	HP_0006887	
HP_0007018	HP_0007018	
HP_0025160	HP_0025160	
HP_0006889	HP_0006889	
HP_0410291	HP_0410291	
HP_0002360	HP_0002360	
HP_0100753	HP_0100753	
HP_0100754	HP_0100754	
HP_0000722	HP_0000722	
HP_0002307	HP_0002307	
HP_0011344	HP_0011344	
HP_0012433	HP_0012433	
HP_0011343	HP_0011343	
HP_0011342	HP_0011342	
HP_0000729	HP_0000729	
HP_0002474	HP_0002474	
HP_0010529	HP_0010529	
HP_0000732	HP_0000732	
HP_0002194	HP_0002194	
HP_0002193	HP_0002193	
HP_0025336	HP_0025336	
HP_0025335	HP_0025335	
HP_0001263	HP_0001263	
